classification,A,B,relay_T,pooled_relay,pooled_reverse_relay,n_fwd,n_rev,evidence_summary,citations
KNOWN_COREGULATED,VEGF,CT-1,NK CD56bright,0.000207086,9.57269e-05,5,3,"Direction is reversed: cardiotrophin-1 induces VEGF expression in cardiac myocytes (via STAT3), well documented. No evidence of VEGF inducing CT-1.",Cardiotrophin-1 induces VEGF expression in cardiac myocytes - https://www.pnas.org/doi/pdf/10.1073/pnas.92.4.1142; VEGF-A in Cardiomyocytes and Heart Diseases - https://pmc.ncbi.nlm.nih.gov/articles/PMC7432634/
KNOWN_COREGULATED,IL-12,VEGF,CD16 Mono,0.000124679,0.000123964,5,3,"IL-12 is documented as ANTI-angiogenic (opposite direction to A→B), acting via IFN-γ/IP-10 to inhibit neovascularization and VEGF-dependent angiogenesis. Both molecules are coupled in the angiogenesis axis but the documented cascade is IL-12 inhibiti",IL-12 Inhibition of Endothelial Cell Functions and Angiogenesis — https://journals.aai.org/jimmunol/article/166/6/3890/70412/; Angiostatin anti-angiogenesis requires IL-12 — https://pmc.ncbi.nlm.nih.gov/articles/PMC2630934/
KNOWN_COREGULATED,VEGF,IL-15,NK,6.12724e-07,1.76559e-07,4,2,Documented direction is reverse: IL-15 signaling via JAK-STAT5 drives VEGF-A expression in NK cells. No published evidence VEGF induces IL-15.,Transcription Factors Associated With IL-15 Cytokine Signaling During NK Cell Development — https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2021.610789/full; The Production of Pro-angiogenic VEGF-A Isoforms by Hypoxic Human NK Cells — https://pmc.ncbi.nlm.nih.gov/articles/PMC7477355/
PARTIAL,Decorin,IL-8,CD8 Naive,0.0135476,0.00761351,3,5,"Decorin has been linked to IL-8 modulation in cancer/macrophage settings, with one study showing reduced decorin increases IL-8 in macrophages and another showing decorin-silenced oral cancer cells lose IL-8 expression. Effects are context-dependent ",A role for aberrantly expressed nuclear localized decorin in migration and invasion of dysplastic and malignant oral epithelial cells — https://pmc.ncbi.nlm.nih.gov/articles/PMC3198745/; Decorin Secreted by Human Umbilical Cord Blood-Derived Mesenchymal Stem Cells Induces Macrophage Polarization via CD44 — https://pmc.ncbi.nlm.nih.gov/articles/PMC6801980/
PARTIAL,APRIL,VEGF,CD14 Mono,0.0127234,0.00921627,5,1,"APRIL and VEGF-A are both elevated in disease (e.g., extracellular vesicles in TNBC, gliomas) and are correlated prognostic biomarkers, but no mechanistic link showing APRIL directly induces VEGF in monocytes was found.","A Retrospective Exploratory Analysis for Serum Extracellular Vesicles Reveals APRIL (TNFSF13), CXCL13, and VEGF-A as Prognostic Biomarkers — https://www.mdpi.com/1422-0067/24/21/15576"
PARTIAL,GM-CSF,TSLP,NKT,0.00773966,0.00640149,4,1,"GM-CSF is used to differentiate monocytes/DCs that can subsequently produce TSLP in response to LPS or other stimuli, and GM-CSF/TSLP/STAT3 signaling has been linked in cancer contexts. However direct GM-CSF→TSLP induction in immune cells (especially",Thymic Stromal Lymphopoietin is Produced by Dendritic Cells — https://pmc.ncbi.nlm.nih.gov/articles/PMC3140600/
PARTIAL,IL-6,APRIL,CD8 Naive,0.00739743,0.00422798,2,4,"APRIL and IL-6 are co-regulated in inflammation and both contribute to plasma cell survival, with positive correlations in arthritis models. No mechanistic evidence of IL-6 directly inducing APRIL in CD8 naive T cells was found.","APRIL (TNFSF13) regulates collagen induced arthritis, IL-17 production and TH2 response — https://pmc.ncbi.nlm.nih.gov/articles/PMC2755626/"
PARTIAL,IL-27,LT-alpha2-beta1,CD8 Naive,0.00557534,0.00532105,1,4,"Indirect link: IL-27 induces Th1 differentiation via STAT1/T-bet, and Th1 cells produce lymphotoxin (alongside IFN-gamma). No direct study of IL-27 inducing LT-alpha2-beta1 specifically in CD8 cells.",Interleukin-27 in T Cell Immunity - https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4346869/; IL-27 elicits a cytotoxic CD8+ T cell program - https://www.nature.com/articles/s41586-024-08510-w
PARTIAL,IL-6,IL-13,CD4 Naive,0.00405107,0.00221447,5,1,"IL-6 promotes Th2 polarization (inducing IL-4 secretion and inhibiting Th1), and Th2 cells are the canonical IL-13 source. No direct mechanistic study of IL-6 inducing IL-13 transcription in naive CD4 T cells.",Interleukin 6: at the interface of human health and disease - https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1255533/full
PARTIAL,IL-16,IL-8,CD8 Naive,0.00391826,0.00191588,3,5,"IL-16 is known to modulate surface receptor and cytokine release in macrophages/DCs, and IL-16 promotes inflammatory cell recruitment to similar tissues as IL-8, but a direct IL-16→IL-8 cascade in CD8 naive T cells was not found.",Recombinant interleukin-16 selectively modulates surface receptor expression and cytokine release in macrophages and dendritic cells — https://pmc.ncbi.nlm.nih.gov/articles/PMC2326843/
PARTIAL,GM-CSF,APRIL,NKT,0.00335577,0.00214462,4,3,"GM-CSF differentiates and primes myeloid cells; neutrophils are known to secrete APRIL in response to stimuli (TGF-beta, glycosaminoglycans), but a direct GM-CSF → APRIL induction (especially via NKT cells) is not directly documented. Indirect link v",Neutrophil TLR4 and PKR are targets of glycosaminoglycans and effectors of APRIL secretion — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6002394/
PARTIAL,VEGF,IL-4,NKT,0.00251102,0.000598239,7,1,"VEGF enhances TH2-mediated sensitization/inflammation in lung (Lee et al., Nature Medicine 2004) and VEGF inhibition decreases IL-4 production, supporting indirect VEGF→IL-4 enhancement. However, direct evidence in NKT cells specifically was not foun",Vascular endothelial growth factor (VEGF) induces remodeling and enhances TH2-mediated sensitization and inflammation in the lung — https://www.nature.com/articles/nm1105
PARTIAL,C5a,IL-36-alpha,CD4 Naive,0.00120405,0.00103538,5,1,"C5a promotes IL-22 and IL-17 expression and provides costimulatory/survival signals to CD4+ T cells; IL-36α is produced by CD4+ T cells in inflammation. No direct evidence C5a induces IL-36α specifically, but pathways converge on CD4 T cell inflammat",Complement component C5a Promotes Expression of IL-22 and IL-17 from Human T cells — https://pmc.ncbi.nlm.nih.gov/articles/PMC3154861/; Elevated IL-36α And CD4+IL-36α+T Cells in Graves' Disease — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6190875/
PARTIAL,IL-12,IL-9,CD4 Naive,0.000845215,0.00016821,2,5,"IL-12 is listed among cytokines that can increase IL-9 production from CD4+ T cells under certain conditions, but the canonical Th9 differentiation pathway involves TGF-β + IL-4 (not IL-12, which classically drives Th1/IFN-γ).",Th9 cells: differentiation and disease — https://pmc.ncbi.nlm.nih.gov/articles/PMC3982928/
PARTIAL,APRIL,IL-21,CD4 Naive,0.000171336,0.000146516,4,2,"APRIL and IL-21 cooperate in B cell differentiation (APRIL+IL-21 induces IgA class switching and IL-10 in Bregs), but no direct evidence that APRIL induces IL-21 production in CD4 naive T cells was found. IL-21 is mainly induced by IL-6 and IL-27 in ",APRIL Induces a Novel Subset of IgA+ Regulatory B Cells — https://pmc.ncbi.nlm.nih.gov/articles/PMC6587076/
PARTIAL,IL-15,APRIL,CD14 Mono,1.88955e-06,4.41233e-07,1,4,"IL-15 induces monocyte/macrophage activation and chemokine production (IL-8, MCP-1), and APRIL is produced by monocytes/macrophages. Both share myeloid expression but no direct mechanistic evidence found for IL-15 induction of APRIL in CD14 monocytes",Interleukin-15 (IL-15) Induces IL-8 and Monocyte Chemotactic Protein 1 Production in Human Monocytes — https://www.sciencedirect.com/science/article/pii/S0006497120579937
NOVEL,APRIL,Decorin,CD8 Naive,0.0203512,0.0160804,3,3,"No literature found linking APRIL (TNFSF13) to induction of Decorin in immune cells or any context. APRIL drives B cell/plasma cell biology and TACI/BCMA signaling; Decorin is an ECM proteoglycan regulated by TGF-beta, not APRIL.",
NOVEL,IL-27,IL-36-alpha,CD4 Naive,0.0191426,0.0114472,4,4,Both IL-27 and IL-36α act on CD4+ T cells independently (IL-27 inhibits Th17/induces IL-10; IL-36α drives colitogenic Th cells) but no published evidence shows IL-27 induces IL-36α expression.,Interleukin-27 in T Cell Immunity — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4346869/; IL-36 cytokines imprint a colitogenic phenotype on CD4+ T helper cells — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9038530/
NOVEL,VEGF,IL-20,CD14 Mono,0.01831,0.016258,5,1,"No published evidence that VEGF induces IL-20 in monocytes. VEGF induces MCP-1, IL-6, and IL-8 in vascular cells/monocytes, but IL-20 was not identified as a downstream target.",
NOVEL,OSM,IL-9,Treg,0.0164311,0.0111995,2,3,"OSM is known to expand Treg and modulate Th17/Th2 balance, but no published evidence directly links OSM to IL-9 induction in Treg or other immune cells.",
NOVEL,IFN-lambda1,IL-27,MAIT,0.0136182,0.0126727,4,2,"No direct evidence found that IFN-lambda1 (IL-29) induces IL-27 in MAIT or other immune cells. IFN-lambda1 induces ELR(-) CXC chemokines and inhibits Th2 responses, but IL-27 induction was not described.",
NOVEL,APRIL,IL-20,CD14 Mono,0.0135341,0.00819057,4,1,"APRIL is known to act on B cells and induce IL-10/PD-L1 in regulatory B cells, but no direct evidence found for APRIL induction of IL-20 in monocytes.",
NOVEL,APRIL,IL-26,CD8 Naive,0.0132009,0.00537313,4,2,"APRIL is known for B-cell biology (IgA class switching, Bregs) and modest T-cell costimulation, but no published literature links APRIL to IL-26 induction in CD8 T cells.",
NOVEL,VEGF,IL-22,MAIT,0.0131489,0.010205,5,1,"VEGF predominantly suppresses T cell function (via VEGFR2) and induces IL-6/IL-8/GRO-α in endothelium, not leukocytes. No evidence VEGF induces IL-22 in MAIT cells; IL-22 induction in MAIT is driven by IL-7/IL-12/IL-18/IL-23.",VEGF directly suppresses activation of T cells from ascites — https://www.nature.com/articles/bjc2012468; VEGF MAIT search — https://immunenetwork.org/DOIx.php?id=10.4110%2Fin.2026.26.e8
NOVEL,IL-9,IL-17C,MAIT,0.0115386,0.011143,4,1,"MAIT cells highly express IL17RE (receptor for IL-17C) and IL-17C is epithelium-derived (induced by IL-1beta/TNF/TLR2/TLR5), not by IL-9. No evidence IL-9 induces IL-17C in MAIT cells or elsewhere.",MAIT cells and the microbiome (IL-17RE expression) - https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1127588/full; IL-17C: Unique Epithelial Cytokine - https://www.jidonline.org/article/S0022-202X(18)30223-9/fulltext
NOVEL,APRIL,IL-22,MAIT,0.0099928,0.00735931,3,3,"APRIL/TNFSF13 mainly acts on B cells (class switching, plasma cell survival, IgA+ Bregs) and was found to regulate IL-17/Th2 responses; no published evidence APRIL induces IL-22 in MAIT cells.","APRIL (TNFSF13) regulates collagen-induced arthritis, IL-17 production and Th2 response — https://pubmed.ncbi.nlm.nih.gov/19016524/"
NOVEL,APRIL,IFN-lambda1,pDC,0.00985714,0.00584096,3,3,"Both APRIL and IFN-lambda1 are associated with plasmacytoid dendritic cells, but there is no published evidence that APRIL induces IFN-lambda1 in pDCs. IFN-lambda induction in pDCs is documented for TLR9 ligands (e.g., HHV-6B), not APRIL.",
NOVEL,IL-9,Decorin,CD8 Naive,0.00935546,0.00747271,3,4,No literature found linking IL-9 to decorin expression in immune cells. Decorin is an ECM proteoglycan with TGF-beta scavenger function; no IL-9-related regulatory axis documented.,
NOVEL,APRIL,EPO,CD14 Mono,0.00925892,0.00855258,2,3,"No published link found between APRIL and EPO induction in monocytes. APRIL is produced by monocytes (not the reverse), and EPO is hypoxia-regulated by HIF in kidney/liver; the two are studied independently.",
NOVEL,APRIL,IL-24,CD14 Mono,0.00900541,0.00885067,2,3,IL-4 (not APRIL) induces IL-24 in macrophages and IL-4 also induces APRIL — they are downstream of a common signal but no direct APRIL→IL-24 induction is documented.,
NOVEL,LT-alpha2-beta1,IL-9,Treg,0.00843638,0.00776395,5,1,"Tregs express LTα1β2 (membrane lymphotoxin) and use LTβR signaling for migration/tumor crosstalk, but no published evidence LTα2β1 induces IL-9 in Tregs.",Regulatory T cells crosstalk with tumor cells and endothelium through lymphotoxin signaling — https://www.nature.com/articles/s41467-024-54874-y
NOVEL,VEGF,IFN-lambda1,CD8 Naive,0.00808305,0.00594701,5,2,"VEGF modulates T cell IL-10/IFN-gamma balance and influences immunosuppression, but no published evidence found for VEGF induction of IFN-lambda1 (IL-29) in CD8 or any immune cell type.",
NOVEL,APRIL,CD30L,CD4 Naive,0.00799523,0.00372203,6,0,"APRIL is a TNF superfamily member like CD30L, but no published link between APRIL signaling and CD30L (TNFSF8) upregulation in naive CD4 T cells.",
NOVEL,IL-27,CD30L,CD14 Mono,0.00760955,0.00488734,5,3,"CD30L is expressed on activated monocytes (LPS-inducible) and IL-27 has effects on monocyte inflammatory programs, but no direct evidence found that IL-27 induces CD30L/TNFSF8 expression on monocytes.",
NOVEL,APRIL,IL-36-alpha,CD4 Naive,0.00743522,0.00535974,5,1,Both APRIL and IL-36α are involved in inflammation but no published evidence that APRIL induces IL-36α expression in CD4 T cells.,
NOVEL,IL-9,IFN-lambda1,CD8 Naive,0.00740598,0.00438166,2,4,IL-29/IFN-λ1 induction is canonically driven by viral/dsRNA stimuli through IRF/NF-κB pathways. No published evidence IL-9 induces IFN-λ1 in CD8 T cells.,Interleukin 29 (Wikipedia) — https://en.wikipedia.org/wiki/Interleukin_29
NOVEL,FasL,IL-27,cDC,0.00641499,0.00394227,2,3,"FasL engagement induces DC maturation, IL-1β release, and IFN-γ, but no published evidence specifically linking FasL stimulation to IL-27 induction in conventional dendritic cells.",
NOVEL,IL-9,APRIL,CD8 Naive,0.00606892,0.00572605,4,3,"No clear literature identified linking IL-9 to APRIL induction in any cell type, let alone CD8 T cells. APRIL is primarily produced by myeloid cells in response to TLR agonists and inflammation, not via documented IL-9 signaling.",
NOVEL,IL-9,CD30L,HSPC,0.00503381,0.00367912,6,2,CD30L/CD153 is expressed on activated T/B/NK cells and is CD40-inducible; no published evidence IL-9 induces CD30L expression on HSPCs.,CD30 Is a CD40-Inducible Molecule — https://pmc.ncbi.nlm.nih.gov/articles/PMC4621001/
NOVEL,APRIL,IL-35,CD4 Naive,0.00501527,0.00346396,4,1,No literature directly linking APRIL induction of IL-35 in CD4 naive T cells. APRIL induces IL-10-producing IgA+ Bregs (which in turn induce Tregs/IL-35-producing populations) but the direct A→B axis was not found.,
NOVEL,CD30L,VEGF,CD14 Mono,0.00474766,0.00405106,5,3,"While CD30L is expressed on monocytes and can mediate various pleiotropic effects, no clear literature was found establishing CD30L→VEGF induction in CD14+ monocytes or any other immune cell type.",
NOVEL,Decorin,IL-27,MAIT,0.00390921,0.0018588,5,1,"Decorin modulates macrophage polarization (M1/M2) and influences cytokine output in mesenchymal stem cells, but no direct evidence was found linking decorin to IL-27 induction, especially in MAIT cells.",
NOVEL,C5a,CD30L,ILC,0.00343455,0.00095226,4,1,No published evidence that C5a induces CD30L (TNFSF8) expression in ILCs. C5a is documented in neutrophil priming and IL-17/IL-23 regulation but not CD30L induction in ILCs.,
NOVEL,APRIL,IL-27,MAIT,0.00338884,0.00275416,5,2,"APRIL is known to regulate B/T cell responses (collagen arthritis, IL-17, Th2 responses) but no documented evidence of APRIL inducing IL-27 production in immune cells, particularly MAIT cells.",
NOVEL,APRIL,IL-13,CD4 Naive,0.00275514,0.00162196,4,2,"APRIL induces IL-10/PD-L1 in IgA+ Bregs and modulates Th2 responses indirectly, but no published evidence that APRIL directly induces IL-13 in naive CD4 T cells.",
NOVEL,IL-36Ra,IL-27,MAIT,0.00265201,0.000836258,4,1,IL-36Ra is a negative regulator that blocks IL-36R signaling. No published evidence IL-36Ra induces IL-27 in MAIT cells; the relationship would be expected to be indirect (release of inhibition).,IL-36 cytokines in inflammatory and malignant diseases — https://link.springer.com/article/10.1007/s00018-021-03909-4
NOVEL,APRIL,FasL,CD4 Naive,0.00234617,0.00155902,4,2,"APRIL primarily acts on B cell survival, plasma cell maintenance, and IgA regulation. No documented evidence found linking APRIL to FasL induction in CD4 T cells or other immune contexts.",
NOVEL,IL-19,APRIL,MAIT,0.00232558,0.00133828,3,3,"No published link between IL-19 (IL-10 family) and APRIL induction in any immune cell type, including MAIT cells. IL-19 signals through IL-20R complexes/STAT3; APRIL is induced by TLR9, IFN-alpha, and B cell activation independently.",
NOVEL,GITRL,APRIL,MAIT,0.00227301,0.00129316,3,2,No published evidence linking GITRL (TNFSF18) to APRIL induction in MAIT cells. GITRL regulates Treg/effector T cell responses; APRIL induction was not described downstream of GITR triggering.,
NOVEL,APRIL,EGF,CD8 Naive,0.0021271,0.00193434,2,4,No literature found connecting APRIL/TNFSF13 to EGF (epidermal growth factor) induction in T cells or immune cells. These molecules operate in distinct signaling families with no documented cascade.,
NOVEL,VEGF,IL-19,NK CD56bright,0.00201095,0.00105418,4,3,Both VEGF and IL-19 participate in vascular inflammation but no direct evidence found for VEGF inducing IL-19 in NK cells or other immune cells.,
NOVEL,IL-19,CD40L,cDC,0.00173653,0.00130589,5,1,"CD40L is upregulated by IL-2, IL-12, IL-15 and downregulated by IL-4, IL-10; CD40L is expressed on activated T cells, not classically on cDCs. No published evidence IL-19 induces CD40L on cDCs.",The role of CD40 and CD40L in Dendritic Cells — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2749083/
NOVEL,VEGF,GM-CSF,CD4 Naive,0.00163537,0.0015819,1,6,"VEGF and GM-CSF operate via distinct pathways with mostly opposing effects on dendritic cell function (VEGF suppresses, GM-CSF promotes maturation). No literature describes VEGF inducing GM-CSF in CD4 naive T cells.",
NOVEL,Decorin,IL-16,CD16 Mono,0.00138004,0.000382326,5,3,"Decorin has documented immunomodulatory effects on monocytes via MCP-1 induction and macrophage polarization, but no published evidence found linking decorin to IL-16 induction.",
NOVEL,APRIL,IL-36Ra,NKT,0.00129978,0.000901605,2,4,No literature found linking APRIL to IL-36Ra induction in NKT or any other immune cells. The two molecules operate in distinct pathways (APRIL: TACI/BCMA on B cells; IL-36Ra: IL-36R competitive antagonism in epithelia/B cells).,
NOVEL,CD27L,IL-27,CD14 Mono,0.001264,0.00032275,2,4,"CD27/CD70 costimulation drives Th1 polarization and broad cytokine responses, but no published evidence that CD27L (CD70) induces IL-27 expression in monocytes.",
NOVEL,IL-16,APRIL,MAIT,0.00117692,0.000783957,3,2,No published evidence that IL-16 induces APRIL expression. IL-16 and APRIL are linked to B cell biology separately but no direct cascade in MAIT or other cells was found.,
NOVEL,VEGF,IL-21,NKT,0.00107228,0.000558652,5,2,"VEGF affects T-cell function (IL-10/IFN-gamma balance, suppression via VEGFR2), and NKT cells are known producers of IL-21, but no published direct link of VEGF inducing IL-21 in NKT cells was found.",
NOVEL,VEGF,GITRL,NKT,0.00102301,0.000687428,1,4,"GITRL is induced in keratinocytes by Th2 cytokines/TNF-alpha and on APCs by various stimuli, but no published evidence of VEGF inducing GITRL in NKT cells or any cell type.",
NOVEL,IL-16,VEGF,MAIT,0.000788111,0.000213066,2,4,"No clear evidence of IL-16 inducing VEGF expression in immune cells, particularly MAIT cells. Multiple other interleukins (IL-6, IL-17, IL-1) are well-documented VEGF inducers, but IL-16 is not.",
NOVEL,IL-19,IL-9,ILC,0.000751185,0.00045648,1,4,"IL-9 is a known ILC2 product induced by IL-33/IL-25 alarmins, but no published evidence found that IL-19 induces IL-9 in ILCs.",
NOVEL,CD27L,IL-9,CD4 Naive,0.000562826,0.00039849,1,4,"CD70-CD27 costimulation broadens naive CD4 cytokine repertoire (Th1, Th2, IL-2, TNF-α) but no published evidence linking CD27L to IL-9 induction specifically.",
NOVEL,APRIL,CD27L,NKT,0.000384381,0.000141354,4,1,"CD70/CD27L is upregulated upon T/B cell activation, and IFN-gamma can induce CD70 on T cells. No documented evidence of APRIL inducing CD70/CD27L expression in NKT cells or other immune cells.",
NOVEL,CT-1,APRIL,MAIT,0.000340179,0.000231977,2,3,"No published link between cardiotrophin-1 (IL-6 family/gp130) and APRIL induction. CT-1 induces IL-6, TNF-alpha, and VEGF via JAK2/STAT3, but no evidence for APRIL induction in MAIT or other cells.",
NOVEL,IL-12,IL-6,NKT,0.000302728,0.000138727,2,4,IL-12 and IL-6 cooperate in T cell priming/Th1 development but no published evidence that IL-12 induces IL-6 production in NKT cells.,
NOVEL,CD27L,VEGF,MAIT,0.000234579,0.000147389,1,4,"CD70/CD27L signals through CD27 leading to NF-kB/c-Jun activation, T cell costimulation and survival. No documented direct link to VEGF induction in MAIT cells or other immune cell types in the literature found.",
NOVEL,APRIL,IL-12,CD4 Naive,0.000228807,4.1052e-05,6,1,"APRIL modulates T cell proliferation and Th2/Th17 cytokine output in mouse models (in APRIL-/- mice, Th2 cytokines increase), but no published direct evidence of APRIL inducing IL-12 in CD4 T cells.","APRIL (TNFSF13) regulates collagen induced arthritis, IL-17 production and TH2 response — https://pmc.ncbi.nlm.nih.gov/articles/PMC2755626/"
NOVEL,TL1A,APRIL,MAIT,0.000196013,0.000177781,1,4,Both TL1A and APRIL are TNF superfamily members but no published link between TL1A signaling and APRIL induction in MAIT cells or elsewhere.,
NOVEL,IL-36-alpha,TL1A,NK CD56bright,0.000193015,0.000185034,5,1,TL1A is induced by IL-1β/TNFα and synergizes with IL-12/IL-18 for NK IFN-γ/cytotoxicity. IL-36α drives Th1 polarization but no published evidence IL-36α induces TL1A in NK CD56bright cells.,TL1A selectively enhances IL-12/IL-18-induced NK cell cytotoxicity — https://pubmed.ncbi.nlm.nih.gov/20349123/; IL-36 signaling amplifies Th1 responses — https://ashpublications.org/blood/article/120/17/3478/30630/IL-36-signaling-amplifies-Th1-responses-by
NOVEL,IL-9,IL-15,NKT,1.77854e-06,3.60586e-07,5,1,"IL-9 and IL-15 share the gamma chain receptor but no evidence IL-9 induces IL-15 production. IL-15 (not IL-9) regulates NKT homeostasis, terminal maturation, and stage 3 differentiation.",
NAME_AMBIGUOUS,Noggin,IL-36-alpha,HSPC,0.00790918,0.00618305,1,4,"Noggin is a BMP antagonist, not a classical immune cytokine. No evidence of a Noggin → IL-36-alpha axis in HSPCs in the immune literature.",
NAME_AMBIGUOUS,IL-27,Noggin,CD14 Mono,0.00396923,0.00293481,5,3,"Noggin is a BMP antagonist, not a classical immune cytokine. IL-27 modulates monocyte differentiation but no link to Noggin induction is documented.",
NAME_AMBIGUOUS,APRIL,Noggin,CD8 Naive,0.00396,0.00326536,3,3,"Noggin is a BMP antagonist not classically considered an immune cytokine. Noggin/BMP signaling affects T cell IL-2 transcription, but APRIL has no documented role in inducing Noggin in CD8 T cells.",Differential effects of inhibition of BMP signalling on T-cell activation — https://pubmed.ncbi.nlm.nih.gov/22144105/
NAME_AMBIGUOUS,VEGF,Noggin,NK CD56bright,0.00351201,0.00177914,7,1,Noggin is a BMP antagonist that opposes VEGF-driven vasculogenesis; it is not a classical immune cytokine. No published link between VEGF and Noggin induction in NK cells.,In vitro and In vivo imaging of antivasculogenesis induced by Noggin in human venous endothelial cells — https://pubmed.ncbi.nlm.nih.gov/19692649/
NAME_AMBIGUOUS,Noggin,CD40L,NK,0.000448695,0.000162884,4,1,"Noggin is a BMP antagonist, not a classical immune cytokine. No evidence linking Noggin to CD40L induction on NK cells in immune literature. CD40L on NK is regulated by IL-12/IFN-γ.",Regulation of CD40L expression on natural killer cells by interleukin-12 and interferon gamma — https://pubmed.ncbi.nlm.nih.gov/11129327/
NAME_AMBIGUOUS,IL-6,Noggin,CD14 Mono,0.000297929,0.000194905,3,2,"Noggin is a BMP antagonist not classically considered an immune cytokine. IL-6 has many monocyte effects (MDSC induction, MCP-1 induction) but no published evidence IL-6 induces Noggin expression in CD14+ monocytes.",IL-6 Induces Monocyte Chemotactic Protein-1 in PBMCs and U937 — https://ashpublications.org/blood/article/91/1/258/260347/Interleukin-6-Induces-Monocyte-Chemotactic-Protein
